Player Name,Team,Age,Position,App,MinP,Goals,Assist,YC,RC,SPG,PS%,AW,MOTM,Rating
Cristhian Mosquera,Valencia,18,   Defender,1,143,0,0,0,0,0.7,84.8,1.0,0,6.22
Marcos André,Valencia,26,   FW,3,427,1,0,2,1,1.1,67.8,0.6,0,6.22
Fede San Emeterio,Cadiz,25,   DMC,14,1091,0,0,7,0,0.2,80.0,0.7,0,6.22
Abner,Real Betis,22,   D(L) M(L),5,367,0,0,2,0,0.4,76.3,0.7,0,6.22
Nicolás Melamed,Espanyol,21,   AM(L),7,501,0,2,3,0,0.5,78.9,0.4,0,6.22
Aleix Vidal,Espanyol,33,   D(R) M(LR),10,882,0,1,4,0,0.2,75.7,0.1,0,6.22
Juanpe,Girona,31,   D(C),11,932,0,0,3,0,0.2,85.1,1.3,0,6.21
Hugo Duro,Valencia,23,   AM(L) FW,8,895,1,0,4,0,1.2,73.8,0.9,0,6.21
Nicolás Fernández Mercau,Elche,23,   M(L),2,320,0,0,2,0,0.2,76.6,0.1,0,6.21
Gonzalo Montiel,Sevilla,26,   D(CR) M(R),11,956,0,1,5,1,0.4,81.4,0.6,0,6.21
Dyego Sousa,Almeria,33,   FW,2,353,0,1,1,0,0.7,70.2,1.0,0,6.2
Benjamin Lecomte,Espanyol,31,   GK,10,900,0,0,1,1,0.0,63.2,0.0,1,6.2
Oier Zarraga,Athletic Bilbao,24,   DMC M(R),4,607,0,0,4,0,0.8,80.0,0.4,0,6.2
Jesús Corona,Sevilla,30,   D(R) M(CLR) FW,1,63,0,0,0,0,0.0,88.2,0.0,0,6.2
Martin Hongla,Real Valladolid,24,   D(C) DMC,5,489,0,0,3,1,0.0,77.3,0.8,0,6.2
Fidel,Elche,33,   M(CLR),9,791,1,1,4,0,0.4,73.6,0.1,0,6.2
Enzo Roco,Elche,30,   D(C),18,1480,0,0,3,1,0.5,82.0,2.1,0,6.2
Gonçalo Paciência,Celta Vigo,28,   FW,4,400,1,0,2,1,1.2,58.8,1.2,0,6.2
Franco Russo,Mallorca,28,   D(C),2,147,0,0,0,0,0.0,76.3,1.0,0,6.19
Gonzalo Villar,Getafe,24,   DMC,2,206,0,0,2,0,0.1,82.1,0.4,0,6.19
Diego González,Elche,28,   D(CL),7,838,0,0,5,0,0.4,81.1,1.3,0,6.19
Robert Navarro,Real Sociedad,20,   Midfielder,1,333,0,0,2,0,0.8,78.2,0.4,0,6.18
Antonio Blanco,Cadiz,22,   Midfielder,2,159,0,0,0,0,0.0,93.4,1.0,0,6.18
Aitor Paredes,Athletic Bilbao,22,   Defender,2,232,0,0,1,0,0.6,85.6,0.3,0,6.18
Iván Alejo,Cadiz,28,   AM(R),8,824,0,1,7,1,0.7,68.9,0.7,0,6.17
Rodrigo Battaglia,Mallorca,31,   M(C),8,686,0,0,5,0,0.1,80.8,0.7,0,6.16
Raúl Guti,Elche,26,   DMC,10,852,0,0,1,0,0.7,82.6,0.3,0,6.16
Abdón Prats,Mallorca,30,   FW,1,251,1,1,0,0,0.3,71.6,0.3,0,6.16
Sergio Asenjo,Real Valladolid,33,   GK,8,720,0,0,0,0,0.0,60.7,0.0,1,6.16
Eden Hazard,Real Madrid,32,   M(CLR) FW,1,98,0,0,0,0,0.7,89.9,0.0,0,6.15
Willian José,Real Betis,31,   FW,2,376,1,0,0,0,0.7,81.5,0.5,0,6.15
Toni Villa,Real Valladolid,28,   AM(CLR),1,91,0,0,0,0,0.0,74.1,0.0,0,6.15
Salvi Sánchez,Rayo Vallecano,31,   AM(R),3,296,0,0,2,0,0.1,61.1,0.1,0,6.14
Radamel Falcao,Rayo Vallecano,37,   FW,3,497,2,0,4,0,1.0,75.6,0.9,0,6.14
Antonio Sánchez,Mallorca,25,   AM(CR),7,647,0,0,4,0,0.5,77.5,0.3,0,6.13
Jaime Seoane,Getafe,26,   M(C),2,300,0,0,0,0,0.1,79.8,0.1,0,6.13
Omar El Hilali,Espanyol,19,   Defender,1,90,0,0,1,0,0.0,57.7,0.4,0,6.13
David Torres,Real Valladolid,20,   Defender,1,100,0,0,0,0,0.0,76.1,1.0,0,6.12
Beñat Turrientes,Real Sociedad,21,   Midfielder,1,102,0,0,0,0,0.0,90.7,0.0,0,6.11
Roger,Elche,32,   FW,8,657,0,1,2,0,0.5,75.7,0.5,0,6.11
Álex Centelles,Almeria,23,   D(L),1,134,0,0,0,1,0.3,71.7,0.0,0,6.11
Arnau Puigmal,Almeria,22,   Midfielder,2,377,0,0,3,0,0.8,76.7,0.1,0,6.1
Josan,Elche,33,   D(R) M(R),3,433,1,0,3,0,0.2,81.7,0.2,0,6.1
Ángel Rodríguez,Mallorca,35,   FW,1,257,0,0,0,0,0.8,75.0,0.7,0,6.1
Santiago Arzamendia,Cadiz,24,   D(L) M(L),4,386,0,0,0,0,0.4,67.9,0.6,0,6.1
José Ángel Pozo,Rayo Vallecano,27,   AM(C),1,79,0,0,0,0,0.1,81.6,0.3,0,6.09
Manu Trigueros,Villarreal,31,   M(CLR) FW,5,462,0,0,2,1,0.4,89.0,0.2,0,6.08
Fabrizio Angileri,Getafe,29,   D(L) M(L),7,544,0,0,2,1,0.3,55.4,1.6,0,6.07
Jordan Amavi,Getafe,29,   D(L) M(L),1,192,0,0,0,1,0.0,50.0,2.0,0,6.07
Mamady Diarra,Cadiz,22,   Forward,1,66,0,0,0,0,1.5,88.9,0.0,0,6.06
Juanjo Narváez,Real Valladolid,28,   Forward,1,147,0,0,0,0,0.6,73.5,0.6,0,6.03
Houboulang Mendes,Almeria,24,   D(CR),9,742,0,1,1,0,0.1,72.0,0.1,0,6.01
Ludwig Augustinsson,Mallorca,28,   D(L) M(L),1,79,0,0,0,0,0.0,70.8,1.0,0,6.01
Arnau Tenas,Barcelona,21,   Goalkeeper,1,1,0,0,1,0,0.0,0.0,0.0,0,6.0
Domingos Quina,Elche,23,   M(CL),2,269,0,0,1,1,0.6,85.3,0.0,0,5.99
Awer Mabil,Cadiz,27,   AM(LR) FW,1,163,0,0,0,0,0.6,72.7,0.2,0,5.99
Kenedy,Real Valladolid,27,   D(L) M(LR),1,81,0,0,1,0,0.3,68.2,0.3,0,5.99
Jaime Mata,Getafe,34,   FW,1,43,0,0,3,0,0.1,72.2,0.2,0,5.98
Pape Cheikh,Elche,25,   DMC,1,33,0,0,0,1,0.0,61.5,0.0,0,5.89
Tomás Alarcón,Cadiz,24,   DMC,2,222,0,0,0,1,0.5,84.3,0.8,0,5.82
John Donald,Elche,22,   D(C),2,151,0,0,0,1,0.0,87.5,0.7,0,5.71
Diego López,Rayo Vallecano,41,   GK,1,90,0,0,0,0,0.0,70.8,0.0,0,4.63
