Player Name,Team,Age,Position,App,MinP,Goals,Assist,YC,RC,SPG,PS%,AW,MOTM,Rating
Franco Cervi,Celta Vigo,28,   AM(CL),16,1406,0,2,0,1,0.8,78.0,0.4,0,6.56
Manu Sánchez,Osasuna,22,   D(L),11,1118,0,1,1,0,0.3,83.7,0.4,0,6.55
Andrés Guardado,Real Betis,36,   D(L) M(CL),10,882,1,1,4,0,0.4,84.2,0.5,0,6.55
Iván Sánchez,Real Valladolid,30,   AM(CR),12,947,1,0,0,0,0.8,84.4,0.1,1,6.55
Cenk Özkacar,Valencia,22,   D(C),6,688,0,0,1,0,0.8,85.2,3.0,0,6.55
Hugo Mallo,Celta Vigo,31,   D(CR) M(R),17,1389,0,0,5,0,0.8,79.7,1.9,0,6.55
Asier Illarramendi,Real Sociedad,33,   M(C),8,662,1,0,3,0,0.5,86.6,0.3,0,6.54
Domingos Duarte,Getafe,28,   D(C),24,2106,0,2,8,1,0.5,78.0,1.7,1,6.54
Rubén Sobrino,Cadiz,30,   AM(CLR) FW,16,1466,2,1,6,0,0.9,74.9,1.6,0,6.54
Yan Couto,Girona,20,   D(R) M(R),7,682,0,1,1,0,0.4,79.9,0.1,0,6.54
Damián Suárez,Getafe,34,   D(R) M(R),14,1052,1,0,2,0,0.1,70.7,0.6,0,6.54
Fernando,Sevilla,35,   D(C) DMC,14,1148,0,0,2,1,0.3,90.2,0.7,0,6.54
Haris Seferovic,Celta Vigo,31,   AM(LR) FW,2,257,1,0,1,0,0.8,63.8,0.8,0,6.54
Martín Montoya,Real Betis,31,   D(LR) M(R),3,186,0,0,0,0,0.0,79.5,0.7,0,6.54
Monchu,Real Valladolid,23,   DMC,15,1205,1,1,7,0,0.9,82.5,0.5,1,6.54
Juanmi,Real Betis,29,   AM(CLR) FW,8,694,4,0,3,0,1.1,84.8,0.5,1,6.54
Unai Simón,Athletic Bilbao,25,   GK,22,1936,0,0,1,0,0.0,68.8,0.0,1,6.53
Pere Milla,Elche,30,   AM(CLR) FW,15,1238,6,1,5,0,1.2,72.5,0.9,2,6.53
Théo Bongonda,Cadiz,27,   AM(LR),14,1079,2,2,0,0,1.3,73.2,0.4,0,6.53
Gumbau,Elche,28,   DMC,19,1682,0,4,9,0,1.0,80.9,0.4,1,6.53
José Gragera,Espanyol,22,   Midfielder,2,215,0,0,1,0,0.2,85.6,1.0,0,6.53
Aïssa Mandi,Villarreal,31,   D(CLR),5,438,0,0,0,0,0.1,90.2,0.4,0,6.53
Rodri,Real Betis,23,   AM(CLR),14,1090,2,1,0,0,0.6,89.9,0.0,1,6.53
Leandro Cabrera,Espanyol,31,   D(CL),21,1829,0,0,4,2,0.8,73.0,2.4,0,6.53
Aimar Oroz,Osasuna,21,   AM(C),13,1165,3,1,5,0,0.8,79.7,0.6,1,6.53
Iván Balliu,Rayo Vallecano,31,   D(R) M(R),25,2183,0,0,5,0,0.2,80.8,0.8,0,6.53
Ivo Grbic,Atletico,27,   GK,2,207,0,0,1,0,0.0,43.0,0.3,0,6.53
Alex Telles,Sevilla,30,   D(L) M(L),9,924,0,2,4,0,0.5,81.3,0.9,0,6.52
Ansu Fati,Barcelona,20,   AM(L) FW,9,925,3,3,2,0,1.9,86.1,0.2,0,6.52
Bryan Gil,Sevilla,22,   AM(CLR),2,269,1,1,1,0,0.8,79.5,0.3,0,6.52
César de la Hoz,Almeria,30,   DMC,12,1112,1,0,5,0,0.4,82.1,0.9,1,6.52
Agustín Marchesín,Celta Vigo,34,   GK,19,1710,0,0,3,0,0.0,67.4,0.2,0,6.52
Edu Expósito,Espanyol,26,   M(C),11,958,2,2,3,0,0.8,78.0,0.6,1,6.51
Martin Valjent,Mallorca,27,   D(C),20,1759,0,0,7,0,0.2,81.8,1.0,0,6.51
Víctor Ruiz,Real Betis,34,   D(C),5,550,0,0,0,0,0.1,85.4,1.8,0,6.51
Juan Iglesias,Getafe,24,   D(LR) M(R),15,1473,1,0,4,0,0.6,63.9,0.5,0,6.51
Hugo Guillamón,Valencia,23,   D(C) DMC,17,1435,1,4,5,0,0.1,83.6,0.9,0,6.51
Ivan Rakitic,Sevilla,35,   M(C),14,1159,1,2,3,1,1.2,84.5,0.8,1,6.51
Edinson Cavani,Valencia,36,   AM(LR) FW,14,957,5,1,4,0,1.9,74.9,0.6,0,6.51
Brian Ocampo,Cadiz,23,   AM(L),15,1129,1,1,2,0,0.7,78.2,0.4,1,6.5
Gastón Álvarez,Getafe,22,   D(L),8,814,2,0,4,1,0.2,66.3,1.6,0,6.5
